Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
PICPI,0.1047066530612245,0.0114467539340722,0.0115347403253674,1.0,0.7257,53
Split conformal prediction,0.8794579723239411,0.2782155386718876,0.027582110595475,,1.0,53
Calibration-based interval,0.02,0.0147364566174993,0.0144234460124843,0.66,0.2641,53
Fixed-width binning,0.02,0.0161819191029923,0.0161503714278066,1.0,0.2613,53
Simultaneous confidence interval,0.4155490337655809,0.0760108150053955,0.0364923050069461,,1.0,54
PICPI,0.1140037959183673,0.0112631449228634,0.0098769576742038,1.0,0.7537,54
Split conformal prediction,0.884138740466967,0.284152789582081,0.0264879617879369,,1.0,54
Calibration-based interval,0.02,0.0108114353649089,0.0101290990176062,0.6,0.2436,54
Fixed-width binning,0.02,0.0102533489794105,0.0102993468092504,1.0,0.2407,54
Simultaneous confidence interval,0.4073186352196845,0.0660717312286311,0.0313521471755513,,1.0,55
PICPI,0.1035922448979592,0.0103395146871867,0.0093220462373682,1.0,0.781,55
Split conformal prediction,0.8702701510584587,0.2705834404091745,0.0230534424611735,,1.0,55
Calibration-based interval,0.02,0.0086392822531701,0.0082444350001796,0.48,0.2797,55
Fixed-width binning,0.02,0.0101956352970532,0.0101941759707446,1.0,0.2912,55
Simultaneous confidence interval,0.4036194242458221,0.0652239339794787,0.023930328886852,,1.0,56
PICPI,0.1195570612244898,0.0085194691824791,0.0075864668435817,1.0,0.8708,56
Split conformal prediction,0.8638350506372925,0.268631033749162,0.0177314044311465,,1.0,56
Calibration-based interval,0.02,0.0082411806192425,0.0082473580092224,0.74,0.3383,56
Fixed-width binning,0.02,0.0094901236049989,0.0094936177440839,1.0,0.3396,56
Simultaneous confidence interval,0.4109833114820693,0.0632770276061353,0.0262769135456491,,1.0,57
PICPI,0.1124018775510204,0.0028293115980083,0.0023372598019886,1.0,0.8423,57
Split conformal prediction,0.8607267383698484,0.2591056843462741,0.0200441434534961,,1.0,57
Calibration-based interval,0.02,0.0042582650638798,0.0025397755146459,0.76,0.3274,57
Fixed-width binning,0.02,0.0029439972584453,0.002879247173478,1.0,0.3345,57
Simultaneous confidence interval,0.4043216950828376,0.063361949040427,0.0294869210815936,,1.0,58
